PYTEST EXECUTION LOG
Started: Tue Feb 24 11:20:44 2026
====================
PASS: tests/test_app.py::TestNopCommerce::test_01_nav_reg[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_02_reg_user[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_03_search_1[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_04_search_2[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_05_search_3[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_06_verify_apple[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_07_nav_computers[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_08_nav_notebooks[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_09_switch_euro[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
PASS: tests/test_app.py::TestNopCommerce::test_10_switch_dollar[C:\\Users\\Dibyojyoti Deb\\Desktop\\Emergency Upload\\Capstone Project\\pytest framework\\data\\test_data.csv]
